Month,Day,Day Of Week,Origin Airport Delay Rate,Destination Airport Delay Rate,Scheduled Time,Distance,Scheduled Departure Hour,Scheduled Departure Minute,Arrival Delay,Airline_AS,Airline_B6,Airline_DL,Airline_EV,Airline_F9,Airline_HA,Airline_MQ,Airline_NK,Airline_OO,Airline_UA,Airline_US,Airline_VX,Airline_WN
0.0,-0.9562891469719568,0.42568815299482415,-0.6075705912306887,-0.5381438009960184,1.06424942614354,0.9068180970107644,-1.000304808888581,1.5511385035604435,-13.0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.14466961929505628,1.3795258956371528,-0.6075705912306887,2.0505378655204782,0.3703026368809781,0.42530311818449584,-1.000304808888581,0.183959916427099,-12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14466961929505628,1.3795258956371528,-0.6075705912306887,-0.5381438009960184,-1.2794576545734146,-1.1568175265303868,-2.664609839335351,0.183959916427099,189.0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,-0.40580976383845024,0.9026070243159884,-0.6075705912306887,-0.5381438009960184,0.21318260912341686,0.1452382835610539,-0.7922666800827347,-0.08947580099956987,-7.0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.6951490024285628,-1.4819873322898331,1.870459248729996,-0.5381438009960184,-0.9783109347047557,-1.184660229387688,-1.6244191953061198,1.0589542121924393,-4.0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,-0.9562891469719568,0.42568815299482415,-0.6075705912306887,-0.5381438009960184,-0.02249743251292497,-0.18887415072656105,-0.7922666800827347,-1.0738443837355778,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.14466961929505628,1.3795258956371528,-0.6075705912306887,-0.5381438009960184,-0.834284242593658,-0.6556488750989643,0.03988583514065029,-0.08947580099956987,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,-0.9562891469719568,0.42568815299482415,-0.6075705912306887,-0.5381438009960184,1.2606494608404917,1.141024362222181,0.03988583514065029,0.45739563385376786,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,-0.40580976383845024,0.9026070243159884,-0.6075705912306887,1.6962936318119524,0.6321693498102468,0.466248269445233,0.03988583514065029,0.45739563385376786,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.6951490024285628,-1.4819873322898331,1.7758871230396254,-0.5381438009960184,-0.3760174949674377,-0.18559853862570208,0.24792396394649655,-0.6910343793382414,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,-1.5067685301054632,-0.05123071832634016,1.5584376712850228,-0.5381438009960184,-0.20580413156341307,-0.039833800137477914,1.0800764791698816,-0.9097829532795765,23.0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,-0.9562891469719568,0.42568815299482415,1.5584376712850228,-0.5381438009960184,-0.2974574810886571,-0.1724960902222662,1.4961527367815741,-0.6363472358529076,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.14466961929505628,1.3795258956371528,-0.6075705912306887,1.6962936318119524,0.671449356749637,0.46297265734437404,-1.2083429376944272,1.0042670687071056,-7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14466961929505628,1.3795258956371528,1.4202628850791565,-0.5381438009960184,0.30483595864866087,-0.12499971475981114,1.0800764791698816,-0.6363472358529076,101.0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,1.2456283855620693,-1.0050684609686686,-0.6075705912306887,1.9456267109062577,0.7369160349819542,0.5661544385214315,-0.5842285512768884,0.183959916427099,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
